step,amount,old_balance_orig,new_balance_orig,old_balance_dest,new_balance_dest,is_fraud,error_bal_orig,error_bal_dest,amount_bal_ratio,is_orig_zeroed,is_dest_empty_start,trans_type_CASH_OUT,trans_type_DEBIT,trans_type_PAYMENT,trans_type_TRANSFER
141,9089.15,36375.0,27285.85,0.0,0.0,0,0.0,9089.15,0.24987353951890034,0,1,0,0,1,0
39,46702.66,1403541.1,1450243.76,3249011.68,3202309.03,0,93405.31999999983,93405.31000000052,0.03327487880476033,0,0,0,0,0,0
103,1254092.1,1254092.1,0.0,0.0,1254092.1,1,0.0,0.0,1.0,1,1,1,0,0,0
404,13511.09,49827.0,36315.91,0.0,0.0,0,0.0,13511.09,0.27116001364721937,0,1,0,0,1,0
308,24681.51,429568.0,404886.49,271223.66,295905.16,0,0.0,0.010000000009313226,0.057456584289332535,0,0,1,0,0,0
339,373531.87,373531.87,0.0,77985.49,451517.36,1,0.0,0.0,1.0,1,0,1,0,0,0
692,10296.63,39236.0,28939.37,0.0,0.0,0,0.0,10296.63,0.2624281272300948,0,1,0,0,1,0
184,13696.33,0.0,0.0,678347.19,692043.52,0,13696.33,-1.1641532182693481e-10,0.0,1,0,1,0,0,0
420,103104.22,264803.0,367907.22,0.0,0.0,0,206208.43999999994,103104.22,0.3893619785274336,0,1,0,0,0,0
355,94342.37,0.0,0.0,414345.79,508688.16,0,94342.37,0.0,0.0,1,0,1,0,0,0
205,106022.38,0.0,0.0,3378038.26,3484060.64,0,106022.38,-4.656612873077393e-10,0.0,1,0,1,0,0,0
379,1606.71,6998.0,5391.29,0.0,0.0,0,0.0,1606.71,0.22959559874249785,0,1,0,0,1,0
303,49037.11,0.0,0.0,418986.62,468023.73,0,49037.11,0.0,0.0,1,0,1,0,0,0
20,3956.16,512.0,0.0,0.0,0.0,0,3444.16,3956.16,7.726875,1,1,0,0,1,0
186,9583.65,99377.08,89793.43,0.0,0.0,0,-1.4551915228366852e-11,9583.65,0.09643722677301446,0,1,0,0,1,0
252,15722.95,72208.36,56485.41,0.0,0.0,0,0.0,15722.95,0.2177441780979377,0,1,0,0,1,0
352,126324.39,0.0,0.0,494240.36,620564.75,0,126324.39,0.0,0.0,1,0,0,0,0,1
301,470252.93,2716.0,472968.93,0.0,0.0,0,940505.86,470252.93,173.14172680412372,0,1,0,0,0,0
322,154140.78,4296380.91,4450521.69,243470.85,89330.07,0,308281.5600000005,308281.56,0.035876888764967536,0,0,0,0,0,0
20,6711.85,0.0,0.0,0.0,0.0,0,6711.85,6711.85,0.0,1,1,0,0,1,0
237,19714.61,1132.0,0.0,0.0,0.0,0,18582.61,19714.61,17.415733215547704,1,1,0,0,1,0
331,386920.63,51476.0,0.0,255800.27,642720.91,0,335444.63,-0.010000000009313226,7.516524788250836,1,0,0,0,0,1
356,92028.84,146854.0,54825.16,631218.06,852640.39,0,0.0,-129393.48999999999,0.6266689364947499,0,0,1,0,0,0
526,30644.94,31161.0,61805.94,0.0,0.0,0,61289.880000000005,30644.94,0.9834389140271492,0,1,0,0,0,0
332,7777.34,0.0,0.0,0.0,0.0,0,7777.34,7777.34,0.0,1,1,0,0,1,0
595,68357.19,193144.76,124787.58,188579.64,256936.83,0,0.010000000009313226,2.9103830456733704e-11,0.35391687561184676,0,0,0,0,0,1
278,2256.83,0.0,0.0,0.0,0.0,0,2256.83,2256.83,0.0,1,1,0,0,1,0
405,107015.81,2539439.92,2646455.73,290746.12,183730.3,0,214031.6200000001,214031.63,0.04214150102830549,0,0,0,0,0,0
371,389723.48,22156.0,0.0,52425.02,442148.5,0,367567.48,0.0,17.589974724679543,1,0,1,0,0,0
285,30015.52,649803.07,619787.54,0.0,0.0,0,-0.009999999892897904,30015.52,0.04619171774611653,0,1,0,0,1,0
379,17467.08,0.0,0.0,483964.77,501431.86,0,17467.08,-0.009999999951105565,0.0,1,0,0,0,0,1
370,132898.76,30133.0,0.0,831407.97,964306.73,0,102765.76000000001,0.0,4.410405867321542,1,0,1,0,0,0
287,39771.78,18598.0,0.0,0.0,0.0,0,21173.78,39771.78,2.1384976879234325,1,1,0,0,1,0
332,181588.89,2291371.13,2472960.02,1289522.34,1107933.44,0,363177.78000000026,363177.79000000004,0.07924900843103493,0,0,0,0,0,0
